Seq,ID,plz,plx,strike,speed,height-net,blz,blx,event
80534,323428,0.497295,12.0177,FirstServe,155,0.136873,-2.18606,-5.17899,In
80571,287675,-0.0306113,-13.2614,ForehandLine,81,0.881119,-1.62097,9.72642,In
80653,323428,-1.95558,13.6251,ForehandInsideOut,112,0.271499,3.0732,-6.20755,In
80706,287675,3.16356,-13.7853,BackhandCross,69,0.856965,-1.0252,8.89797,In
80800,323428,-2.36864,13.4439,ForehandInsideIn,99,0.460692,-1.20556,-6.90697,In
80868,287675,0.804726,-13.9737,ForehandCross,91,1.17257,3.18318,9.44336,In
80942,323428,2.70512,14.0916,ForehandCross,91,1.2528,-0.26192,-7.63158,In
81012,287675,0.0888886,-11.7468,ForehandLine,94,0.668369,-3.2168,9.79143,In
81071,323428,-1.9484,14.4125,BackhandLine,63,1.85681,,,In
81132,287675,0.0944655,-5.15634,VolleyBackhand,44,0.719847,-2.60176,5.34671,In